sampleName	sampleGroup	region	SMNABTCH	SMNABTCHT	SMNABTCHD	SMGEBTCH	SMGEBTCHD	SMGEBTCHT
GTEX-111YS-0926-SM-5EGGI	Esophagus	Esophagus - Mucosa	BP-44460	RNA Extraction from Paxgene-derived Lysate Plate Based	10/8/13	LCSET-4764	2/8/14	TrueSeq.v1
GTEX-1122O-1726-SM-5GICM	Esophagus	Esophagus - Mucosa	BP-44261	RNA Extraction from Paxgene-derived Lysate Plate Based	10/3/13	LCSET-4796	2/27/14	TrueSeq.v1
GTEX-11DXX-1126-SM-5GZZK	Esophagus	Esophagus - Mucosa	BP-43783	RNA Extraction from Paxgene-derived Lysate Plate Based	9/19/13	LCSET-4805	2/27/14	TrueSeq.v1
GTEX-11DXY-1426-SM-5N9CN	Esophagus	Esophagus - Mucosa	BP-43989	RNA Extraction from Paxgene-derived Lysate Plate Based	9/26/13	LCSET-4904	3/22/14	TrueSeq.v1
GTEX-11DYG-1326-SM-5N9DO	Esophagus	Esophagus - Mucosa	BP-43989	RNA Extraction from Paxgene-derived Lysate Plate Based	9/26/13	LCSET-4904	3/22/14	TrueSeq.v1
GTEX-11DZ1-2026-SM-5A5KG	Esophagus	Esophagus - Mucosa	BP-44264	RNA Extraction from Paxgene-derived Lysate Plate Based	10/3/13	LCSET-4423	1/29/14	TrueSeq.v1
GTEX-11EQ9-0726-SM-5A5K2	Esophagus	Esophagus - Mucosa	BP-44264	RNA Extraction from Paxgene-derived Lysate Plate Based	10/3/13	LCSET-4423	1/29/14	TrueSeq.v1
GTEX-11GSP-1826-SM-5N9DQ	Esophagus	Esophagus - Mucosa	BP-43989	RNA Extraction from Paxgene-derived Lysate Plate Based	9/26/13	LCSET-4904	3/22/14	TrueSeq.v1
GTEX-11LCK-1726-SM-5S2OQ	Esophagus	Esophagus - Mucosa	BP-44264	RNA Extraction from Paxgene-derived Lysate Plate Based	10/3/13	LCSET-4988	3/31/14	TrueSeq.v1
GTEX-11NSD-1126-SM-5N9BQ	Esophagus	Esophagus - Mucosa	BP-43989	RNA Extraction from Paxgene-derived Lysate Plate Based	9/26/13	LCSET-4904	3/22/14	TrueSeq.v1
GTEX-11NUK-1326-SM-5P9GN	Esophagus	Esophagus - Mucosa	BP-47888	RNA Extraction from Paxgene-derived Lysate Plate Based	1/6/14	LCSET-4914	3/27/14	TrueSeq.v1
GTEX-11P7K-1326-SM-5BC5G	Esophagus	Esophagus - Mucosa	BP-44512	RNA Extraction from Paxgene-derived Lysate Plate Based	10/10/13	LCSET-4455	1/18/14	TrueSeq.v1
GTEX-11P81-0826-SM-5P9GR	Esophagus	Esophagus - Mucosa	BP-47888	RNA Extraction from Paxgene-derived Lysate Plate Based	1/6/14	LCSET-4914	3/27/14	TrueSeq.v1
GTEX-11P82-0526-SM-5986P	Esophagus	Esophagus - Mucosa	BP-44902	RNA Extraction from Paxgene-derived Lysate Plate Based	10/22/13	LCSET-4417	1/23/14	TrueSeq.v1
GTEX-11TT1-0526-SM-5P9JO	Esophagus	Esophagus - Mucosa	BP-47888	RNA Extraction from Paxgene-derived Lysate Plate Based	1/6/14	LCSET-4916	3/27/14	TrueSeq.v1
GTEX-11TUW-1326-SM-5EQKV	Esophagus	Esophagus - Mucosa	BP-44312	RNA Extraction from Paxgene-derived Lysate Plate Based	10/4/13	LCSET-4790	2/19/14	TrueSeq.v1
GTEX-11VI4-0526-SM-5EQ48	Esophagus	Esophagus - Mucosa	BP-45028	RNA Extraction from Paxgene-derived Lysate Plate Based	10/24/13	LCSET-4767	2/8/14	TrueSeq.v1
GTEX-11ZTS-2626-SM-5EGIC	Esophagus	Esophagus - Mucosa	BP-45028	RNA Extraction from Paxgene-derived Lysate Plate Based	10/24/13	LCSET-4764	2/8/14	TrueSeq.v1
GTEX-11ZU8-1526-SM-5EGHX	Esophagus	Esophagus - Mucosa	BP-44901	RNA Extraction from Paxgene-derived Lysate Plate Based	10/22/13	LCSET-4764	2/8/14	TrueSeq.v1
GTEX-1211K-0926-SM-5FQTL	Esophagus	Esophagus - Mucosa	BP-44114	RNA Extraction from Paxgene-derived Lysate Plate Based	9/30/13	LCSET-4793	2/19/14	TrueSeq.v1
GTEX-1212Z-2126-SM-5FQTM	Esophagus	Esophagus - Mucosa	BP-44114	RNA Extraction from Paxgene-derived Lysate Plate Based	9/30/13	LCSET-4793	2/19/14	TrueSeq.v1
GTEX-12696-1326-SM-5FQTJ	Esophagus	Esophagus - Mucosa	BP-44114	RNA Extraction from Paxgene-derived Lysate Plate Based	9/30/13	LCSET-4793	2/19/14	TrueSeq.v1
GTEX-12C56-1226-SM-5FQSU	Esophagus	Esophagus - Mucosa	BP-43881	RNA Extraction from Paxgene-derived Lysate Plate Based	9/23/13	LCSET-4793	2/19/14	TrueSeq.v1
GTEX-12KS4-0926-SM-5BC5S	Esophagus	Esophagus - Mucosa	BP-43916	RNA Extraction from Paxgene-derived Lysate Plate Based	9/24/13	LCSET-4455	1/18/14	TrueSeq.v1
GTEX-12WSA-1426-SM-5EGJU	Esophagus	Esophagus - Mucosa	BP-44525	RNA Extraction from Paxgene-derived Lysate Plate Based	10/10/13	LCSET-4797	2/11/14	TrueSeq.v1
GTEX-12WSD-1826-SM-5GCOA	Esophagus	Esophagus - Mucosa	BP-43881	RNA Extraction from Paxgene-derived Lysate Plate Based	9/23/13	LCSET-4795	2/23/14	TrueSeq.v1
GTEX-12WSK-1126-SM-5LZV8	Esophagus	Esophagus - Mucosa	BP-45139	RNA Extraction from Paxgene-derived Lysate Plate Based	10/28/13	LCSET-4900	3/23/14	TrueSeq.v1
GTEX-12WSL-1526-SM-5GCP8	Esophagus	Esophagus - Mucosa	BP-44157	RNA Extraction from Paxgene-derived Lysate Plate Based	10/1/13	LCSET-4795	2/23/14	TrueSeq.v1
GTEX-12ZZX-1326-SM-5DUWI	Esophagus	Esophagus - Mucosa	BP-44437	RNA Extraction from Paxgene-derived Lysate Plate Based	10/8/13	LCSET-4634	2/8/14	TrueSeq.v1
GTEX-131XE-1426-SM-5HL7V	Esophagus	Esophagus - Mucosa	BP-45247	RNA Extraction from Paxgene-derived Lysate Plate Based	10/29/13	LCSET-4807	2/28/14	TrueSeq.v1
GTEX-131XF-0826-SM-5GICG	Esophagus	Esophagus - Mucosa	BP-44172	RNA Extraction from Paxgene-derived Lysate Plate Based	10/1/13	LCSET-4796	2/27/14	TrueSeq.v1
GTEX-131XG-1026-SM-5GCMX	Esophagus	Esophagus - Mucosa	BP-44172	RNA Extraction from Paxgene-derived Lysate Plate Based	10/1/13	LCSET-4795	2/23/14	TrueSeq.v1
GTEX-131YS-1426-SM-5IJF7	Esophagus	Esophagus - Mucosa	BP-46453	RNA Extraction from Paxgene-derived Lysate Plate Based	12/3/13	LCSET-4815	3/13/14	TrueSeq.v1
GTEX-132AR-2226-SM-5J2NT	Esophagus	Esophagus - Mucosa	BP-45485	RNA Extraction from Paxgene-derived Lysate Plate Based	11/5/13	LCSET-4817	3/22/14	TrueSeq.v1
GTEX-132Q8-1826-SM-5EGIY	Esophagus	Esophagus - Mucosa	BP-44901	RNA Extraction from Paxgene-derived Lysate Plate Based	10/22/13	LCSET-4764	2/8/14	TrueSeq.v1
GTEX-132QS-1426-SM-5P9GE	Esophagus	Esophagus - Mucosa	BP-47901	RNA Extraction from Paxgene-derived Lysate Plate Based	1/6/14	LCSET-4914	3/27/14	TrueSeq.v1
GTEX-133LE-0626-SM-5IFFJ	Esophagus	Esophagus - Mucosa	BP-46453	RNA Extraction from Paxgene-derived Lysate Plate Based	12/3/13	LCSET-4813	3/5/14	TrueSeq.v1
GTEX-1399R-0826-SM-5IJEL	Esophagus	Esophagus - Mucosa	BP-46589	RNA Extraction from Paxgene-derived Lysate Plate Based	12/4/13	LCSET-4815	3/13/14	TrueSeq.v1
GTEX-1399S-1326-SM-5P9GH	Esophagus	Esophagus - Mucosa	BP-47901	RNA Extraction from Paxgene-derived Lysate Plate Based	1/6/14	LCSET-4914	3/27/14	TrueSeq.v1
GTEX-1399U-1026-SM-5J1OC	Esophagus	Esophagus - Mucosa	BP-46589	RNA Extraction from Paxgene-derived Lysate Plate Based	12/4/13	LCSET-4816	3/22/14	TrueSeq.v1
GTEX-139T6-0626-SM-5IFF9	Esophagus	Esophagus - Mucosa	BP-46589	RNA Extraction from Paxgene-derived Lysate Plate Based	12/4/13	LCSET-4813	3/5/14	TrueSeq.v1
GTEX-139TU-1226-SM-5J2NL	Esophagus	Esophagus - Mucosa	BP-46925	RNA Extraction from Paxgene-derived Lysate Plate Based	12/10/13	LCSET-4817	3/22/14	TrueSeq.v1
GTEX-139UW-1126-SM-5IJEJ	Esophagus	Esophagus - Mucosa	BP-46925	RNA Extraction from Paxgene-derived Lysate Plate Based	12/10/13	LCSET-4815	3/13/14	TrueSeq.v1
GTEX-139YR-1726-SM-5IFFK	Esophagus	Esophagus - Mucosa	BP-46589	RNA Extraction from Paxgene-derived Lysate Plate Based	12/4/13	LCSET-4813	3/5/14	TrueSeq.v1
GTEX-13CF3-1626-SM-5IFG9	Esophagus	Esophagus - Mucosa	BP-46589	RNA Extraction from Paxgene-derived Lysate Plate Based	12/4/13	LCSET-4813	3/5/14	TrueSeq.v1
GTEX-13D11-1926-SM-5IFGB	Esophagus	Esophagus - Mucosa	BP-46943	RNA Extraction from Paxgene-derived Lysate Plate Based	12/10/13	LCSET-4813	3/5/14	TrueSeq.v1
GTEX-13FH7-0526-SM-5IJF8	Esophagus	Esophagus - Mucosa	BP-46925	RNA Extraction from Paxgene-derived Lysate Plate Based	12/10/13	LCSET-4815	3/13/14	TrueSeq.v1
GTEX-13FHO-1726-SM-5IFGM	Esophagus	Esophagus - Mucosa	BP-46589	RNA Extraction from Paxgene-derived Lysate Plate Based	12/4/13	LCSET-4813	3/5/14	TrueSeq.v1
GTEX-13FLV-1126-SM-5J2NO	Esophagus	Esophagus - Mucosa	BP-46943	RNA Extraction from Paxgene-derived Lysate Plate Based	12/10/13	LCSET-4817	3/22/14	TrueSeq.v1
GTEX-13FTW-1626-SM-5KM4N	Esophagus	Esophagus - Mucosa	BP-46482	RNA Extraction from Paxgene-derived Lysate Plate Based	12/3/13	LCSET-4821	3/23/14	TrueSeq.v1
GTEX-13FTX-0526-SM-5IFGS	Esophagus	Esophagus - Mucosa	BP-46650	RNA Extraction from Paxgene-derived Lysate Plate Based	12/5/13	LCSET-4813	3/5/14	TrueSeq.v1
GTEX-13G51-0926-SM-5IFFU	Esophagus	Esophagus - Mucosa	BP-46978	RNA Extraction from Paxgene-derived Lysate Plate Based	12/11/13	LCSET-4813	3/5/14	TrueSeq.v1
GTEX-13O1R-1326-SM-5IJF5	Esophagus	Esophagus - Mucosa	BP-47125	RNA Extraction from Paxgene-derived Lysate Plate Based	12/13/13	LCSET-4815	3/13/14	TrueSeq.v1
GTEX-13O21-0626-SM-5IJDI	Esophagus	Esophagus - Mucosa	BP-46925	RNA Extraction from Paxgene-derived Lysate Plate Based	12/10/13	LCSET-4814	3/4/14	TrueSeq.v1
GTEX-13OVG-0626-SM-5IFEP	Esophagus	Esophagus - Mucosa	BP-46999	RNA Extraction from Paxgene-derived Lysate Plate Based	12/11/13	LCSET-4813	3/5/14	TrueSeq.v1
GTEX-13OVJ-1226-SM-5L3HA	Esophagus	Esophagus - Mucosa	BP-47486	RNA Extraction from Paxgene-derived Lysate Plate Based	12/17/13	LCSET-4823	3/23/14	TrueSeq.v1
GTEX-13OW8-2326-SM-5L3I9	Esophagus	Esophagus - Mucosa	BP-47524	RNA Extraction from Paxgene-derived Lysate Plate Based	12/17/13	LCSET-4823	3/23/14	TrueSeq.v1
GTEX-13PVQ-1726-SM-5IFF3	Esophagus	Esophagus - Mucosa	BP-47070	RNA Extraction from Paxgene-derived Lysate Plate Based	12/12/13	LCSET-4813	3/5/14	TrueSeq.v1
GTEX-13PVR-1826-SM-5Q5CC	Esophagus	Esophagus - Mucosa	BP-48448	RNA Extraction from Paxgene-derived Lysate Plate Based	1/17/14	LCSET-4952	3/29/14	TrueSeq.v1
GTEX-13QBU-1026-SM-5LU3R	Esophagus	Esophagus - Mucosa	BP-47141	RNA Extraction from Paxgene-derived Lysate Plate Based	12/13/13	LCSET-4824	3/23/14	TrueSeq.v1
GTEX-13QJ3-1726-SM-5RQK9	Esophagus	Esophagus - Mucosa	BP-48564	RNA Extraction from Paxgene-derived Lysate Plate Based	1/22/14	LCSET-4955	4/1/14	TrueSeq.v1
GTEX-13S86-0826-SM-5SI6J	Esophagus	Esophagus - Mucosa	BP-48651	RNA Extraction from Paxgene-derived Lysate Plate Based	1/24/14	LCSET-4995	4/5/14	TrueSeq.v1
GTEX-13U4I-1126-SM-5LU3S	Esophagus	Esophagus - Mucosa	BP-47141	RNA Extraction from Paxgene-derived Lysate Plate Based	12/13/13	LCSET-4824	3/23/14	TrueSeq.v1
GTEX-13W3W-1626-SM-5LU35	Esophagus	Esophagus - Mucosa	BP-47141	RNA Extraction from Paxgene-derived Lysate Plate Based	12/13/13	LCSET-4824	3/23/14	TrueSeq.v1
GTEX-13X6H-1326-SM-5LU42	Esophagus	Esophagus - Mucosa	BP-47591	RNA Extraction from Paxgene-derived Lysate Plate Based	12/18/13	LCSET-4824	3/23/14	TrueSeq.v1
GTEX-13X6K-2126-SM-5O9D4	Esophagus	Esophagus - Mucosa	BP-47675	RNA Extraction from Paxgene-derived Lysate Plate Based	12/19/13	LCSET-4910	4/1/14	TrueSeq.v1
GTEX-144FL-2726-SM-5O98Z	Esophagus	Esophagus - Mucosa	BP-47675	RNA Extraction from Paxgene-derived Lysate Plate Based	12/19/13	LCSET-4909	3/20/14	TrueSeq.v1
GTEX-144GN-0626-SM-5O9B2	Esophagus	Esophagus - Mucosa	BP-47675	RNA Extraction from Paxgene-derived Lysate Plate Based	12/19/13	LCSET-4909	3/20/14	TrueSeq.v1
GTEX-144GO-2726-SM-5O9A2	Esophagus	Esophagus - Mucosa	BP-47675	RNA Extraction from Paxgene-derived Lysate Plate Based	12/19/13	LCSET-4909	3/20/14	TrueSeq.v1
GTEX-145LS-1826-SM-5LUAZ	Esophagus	Esophagus - Mucosa	BP-47591	RNA Extraction from Paxgene-derived Lysate Plate Based	12/18/13	LCSET-4899	3/23/14	TrueSeq.v1
GTEX-145ME-0526-SM-5QGQV	Esophagus	Esophagus - Mucosa	BP-48437	RNA Extraction from Paxgene-derived Lysate Plate Based	1/17/14	LCSET-4954	3/29/14	TrueSeq.v1
GTEX-145MN-1026-SM-5NQ9G	Esophagus	Esophagus - Mucosa	BP-47696	RNA Extraction from Paxgene-derived Lysate Plate Based	12/20/13	LCSET-4907	3/21/14	TrueSeq.v1
GTEX-145MO-1426-SM-5Q5BS	Esophagus	Esophagus - Mucosa	BP-48068	RNA Extraction from Paxgene-derived Lysate Plate Based	1/8/14	LCSET-4952	3/29/14	TrueSeq.v1
GTEX-146FH-1726-SM-5QGQ2	Esophagus	Esophagus - Mucosa	BP-48437	RNA Extraction from Paxgene-derived Lysate Plate Based	1/17/14	LCSET-4954	3/29/14	TrueSeq.v1
GTEX-146FR-0426-SM-5SI97	Esophagus	Esophagus - Mucosa	BP-47616	RNA Extraction from Paxgene-derived Lysate Plate Based	12/18/13	LCSET-5174	4/4/14	TrueSeq.v1
GTEX-147F3-0826-SM-5NQA7	Esophagus	Esophagus - Mucosa	BP-47696	RNA Extraction from Paxgene-derived Lysate Plate Based	12/20/13	LCSET-4907	3/21/14	TrueSeq.v1
GTEX-1497J-2726-SM-5SI9W	Esophagus	Esophagus - Mucosa	BP-47616	RNA Extraction from Paxgene-derived Lysate Plate Based	12/18/13	LCSET-5174	4/4/14	TrueSeq.v1
GTEX-14AS3-0626-SM-5QGQD	Esophagus	Esophagus - Mucosa	BP-48448	RNA Extraction from Paxgene-derived Lysate Plate Based	1/17/14	LCSET-4954	3/29/14	TrueSeq.v1
GTEX-14BIN-2726-SM-5RQIE	Esophagus	Esophagus - Mucosa	BP-48448	RNA Extraction from Paxgene-derived Lysate Plate Based	1/17/14	LCSET-4955	4/1/14	TrueSeq.v1
GTEX-14BMU-0926-SM-5S2QB	Esophagus	Esophagus - Mucosa	BP-48647	RNA Extraction from Paxgene-derived Lysate Plate Based	1/24/14	LCSET-4988	4/1/14	TrueSeq.v1
GTEX-14C38-2126-SM-5RQJO	Esophagus	Esophagus - Mucosa	BP-48576	RNA Extraction from Paxgene-derived Lysate Plate Based	1/22/14	LCSET-4955	4/1/14	TrueSeq.v1
GTEX-14DAQ-1426-SM-5RQJD	Esophagus	Esophagus - Mucosa	BP-48576	RNA Extraction from Paxgene-derived Lysate Plate Based	1/22/14	LCSET-4955	4/1/14	TrueSeq.v1
GTEX-14E6E-0726-SM-5S2R3	Esophagus	Esophagus - Mucosa	BP-48651	RNA Extraction from Paxgene-derived Lysate Plate Based	1/24/14	LCSET-4988	4/1/14	TrueSeq.v1
GTEX-14H4A-1626-SM-5SI69	Esophagus	Esophagus - Mucosa	BP-48651	RNA Extraction from Paxgene-derived Lysate Plate Based	1/24/14	LCSET-4995	4/5/14	TrueSeq.v1
GTEX-N7MT-0326-SM-48TDP	Esophagus	Esophagus - Mucosa	BP-16829	RNA isolation_PAXgene Tissue miRNA	5/24/11	LCSET-3085	4/12/13	TrueSeq.v1
GTEX-NFK9-1126-SM-3LK78	Esophagus	Esophagus - Mucosa	BP-16993	RNA isolation_PAXgene Tissue miRNA	6/2/11	LCSET-2234	12/16/12	TrueSeq.v1
GTEX-NPJ8-1926-SM-3MJGB	Esophagus	Esophagus - Mucosa	BP-17315	RNA isolation_PAXgene Tissue miRNA	6/27/11	LCSET-2269	11/19/12	TrueSeq.v1
GTEX-O5YV-1026-SM-3LK72	Esophagus	Esophagus - Mucosa	BP-17536	RNA isolation_PAXgene Tissue miRNA	7/12/11	LCSET-2234	12/16/12	TrueSeq.v1
GTEX-OIZG-1026-SM-3LK5X	Esophagus	Esophagus - Mucosa	BP-18122	RNA isolation_PAXgene Tissue miRNA	8/9/11	LCSET-2234	12/16/12	TrueSeq.v1
GTEX-OIZH-0626-SM-3NB1L	Esophagus	Esophagus - Mucosa	BP-18147	RNA isolation_PAXgene Tissue miRNA	8/10/11	LCSET-2318	12/16/12	TrueSeq.v1
GTEX-OIZI-1426-SM-3NB1T	Esophagus	Esophagus - Mucosa	BP-18180	RNA isolation_PAXgene Tissue miRNA	8/11/11	LCSET-2318	12/16/12	TrueSeq.v1
GTEX-OOBK-0625-SM-3LK5P	Esophagus	Esophagus - Mucosa	BP-18256	RNA isolation_PAXgene Tissue miRNA	8/16/11	LCSET-2234	12/16/12	TrueSeq.v1
GTEX-OXRK-1326-SM-3NB1A	Esophagus	Esophagus - Mucosa	BP-18262	RNA isolation_PAXgene Tissue miRNA	8/16/11	LCSET-2318	12/16/12	TrueSeq.v1
GTEX-OXRL-0626-SM-3NM9C	Esophagus	Esophagus - Mucosa	BP-18390	RNA isolation_PAXgene Tissue miRNA	8/22/11	LCSET-2351	12/16/12	TrueSeq.v1
GTEX-OXRN-1726-SM-3NM9B	Esophagus	Esophagus - Mucosa	BP-18408	RNA isolation_PAXgene Tissue miRNA	8/22/11	LCSET-2351	12/16/12	TrueSeq.v1
GTEX-P4PP-0626-SM-3NM9X	Esophagus	Esophagus - Mucosa	BP-18662	RNA isolation_PAXgene Tissue miRNA	9/6/11	LCSET-2351	12/16/12	TrueSeq.v1
GTEX-P4PQ-0626-SM-3NMCU	Esophagus	Esophagus - Mucosa	BP-18708	RNA isolation_PAXgene Tissue miRNA	9/7/11	LCSET-2385	12/16/12	TrueSeq.v1
GTEX-P4QS-0626-SM-3NMD1	Esophagus	Esophagus - Mucosa	BP-18727	RNA isolation_PAXgene Tissue miRNA	9/8/11	LCSET-2385	12/16/12	TrueSeq.v1
GTEX-P4QT-0626-SM-3NMCP	Esophagus	Esophagus - Mucosa	BP-18729	RNA isolation_PAXgene Tissue miRNA	9/8/11	LCSET-2385	12/16/12	TrueSeq.v1
GTEX-P78B-1026-SM-3NMC4	Esophagus	Esophagus - Mucosa	BP-19089	RNA isolation_PAXgene Tissue miRNA	9/27/11	LCSET-2385	12/16/12	TrueSeq.v1
GTEX-PLZ4-1626-SM-3P618	Esophagus	Esophagus - Mucosa	BP-19216	RNA isolation_PAXgene Tissue miRNA	10/4/11	LCSET-2386	12/16/12	TrueSeq.v1
GTEX-PLZ5-0926-SM-3TW8L	Esophagus	Esophagus - Mucosa	BP-19181	RNA isolation_PAXgene Tissue miRNA	10/3/11	LCSET-2622	1/26/13	TrueSeq.v1
GTEX-PLZ6-0526-SM-3P61C	Esophagus	Esophagus - Mucosa	BP-19254	RNA isolation_PAXgene Tissue miRNA	10/5/11	LCSET-2386	12/16/12	TrueSeq.v1
GTEX-PSDG-1326-SM-48TD2	Esophagus	Esophagus - Mucosa	BP-19412	RNA isolation_PAXgene Tissue miRNA	10/17/11	LCSET-3085	4/12/13	TrueSeq.v1
GTEX-PVOW-1626-SM-48TC9	Esophagus	Esophagus - Mucosa	BP-19443	RNA isolation_PAXgene Tissue miRNA	10/18/11	LCSET-3085	4/12/13	TrueSeq.v1
GTEX-PWCY-0726-SM-48TCS	Esophagus	Esophagus - Mucosa	BP-19460	RNA isolation_PAXgene Tissue miRNA	10/19/11	LCSET-3085	4/12/13	TrueSeq.v1
GTEX-PWN1-0626-SM-48TDT	Esophagus	Esophagus - Mucosa	BP-19817	RNA isolation_PAXgene Tissue miRNA	11/1/11	LCSET-3085	4/12/13	TrueSeq.v1
GTEX-Q2AH-0826-SM-48TZN	Esophagus	Esophagus - Mucosa	BP-19999	RNA isolation_PAXgene Tissue miRNA	11/9/11	LCSET-3181	7/18/13	TrueSeq.v1
GTEX-Q2AI-0626-SM-48TZU	Esophagus	Esophagus - Mucosa	BP-20043	RNA isolation_PAXgene Tissue miRNA	11/10/11	LCSET-3084	4/18/13	TrueSeq.v1
GTEX-QCQG-0626-SM-48U21	Esophagus	Esophagus - Mucosa	BP-20113	RNA isolation_PAXgene Tissue miRNA	11/15/11	LCSET-3084	4/18/13	TrueSeq.v1
GTEX-QDVJ-0726-SM-48U1W	Esophagus	Esophagus - Mucosa	BP-20259	RNA isolation_PAXgene Tissue miRNA	11/21/11	LCSET-3084	4/18/13	TrueSeq.v1
GTEX-QDVN-1026-SM-48TZA	Esophagus	Esophagus - Mucosa	BP-20293	RNA isolation_PAXgene Tissue miRNA	11/22/11	LCSET-3181	7/18/13	TrueSeq.v1
GTEX-QEG5-1426-SM-447AS	Esophagus	Esophagus - Mucosa	BP-20332	RNA isolation_PAXgene Tissue miRNA	11/28/11	LCSET-2912	4/12/13	TrueSeq.v1
GTEX-QESD-0826-SM-47J4G	Esophagus	Esophagus - Mucosa	BP-36881	RNA isolation_PAXgene Tissue miRNA	3/12/13	LCSET-2933	4/16/13	TrueSeq.v1
GTEX-QLQ7-0926-SM-447BC	Esophagus	Esophagus - Mucosa	BP-20570	RNA isolation_PAXgene Tissue miRNA	12/6/11	LCSET-3181	7/18/13	TrueSeq.v1
GTEX-QLQW-0526-SM-4R1KS	Esophagus	Esophagus - Mucosa	BP-20693	RNA isolation_PAXgene Tissue miRNA	12/9/11	LCSET-3812	9/5/13	TrueSeq.v1
GTEX-QV44-1126-SM-4R1KO	Esophagus	Esophagus - Mucosa	BP-20868	RNA isolation_PAXgene Tissue miRNA	12/15/11	LCSET-3812	9/5/13	TrueSeq.v1
GTEX-QVUS-0626-SM-447CC	Esophagus	Esophagus - Mucosa	BP-21018	RNA isolation_PAXgene Tissue miRNA	12/22/11	LCSET-2912	4/12/13	TrueSeq.v1
GTEX-R3RS-1326-SM-48FE7	Esophagus	Esophagus - Mucosa	BP-21199	RNA isolation_PAXgene Tissue miRNA	1/6/12	LCSET-3057	4/18/13	TrueSeq.v1
GTEX-R45C-1226-SM-48FEE	Esophagus	Esophagus - Mucosa	BP-21337	RNA isolation_PAXgene Tissue miRNA	1/11/12	LCSET-3057	4/18/13	TrueSeq.v1
GTEX-R53T-1126-SM-48FD4	Esophagus	Esophagus - Mucosa	BP-21576	RNA isolation_PAXgene Tissue miRNA	1/19/12	LCSET-3057	4/18/13	TrueSeq.v1
GTEX-R55C-0826-SM-48FCL	Esophagus	Esophagus - Mucosa	BP-21397	RNA isolation_PAXgene Tissue miRNA	1/12/12	LCSET-3057	4/18/13	TrueSeq.v1
GTEX-R55D-1126-SM-48FEB	Esophagus	Esophagus - Mucosa	BP-21337	RNA isolation_PAXgene Tissue miRNA	1/11/12	LCSET-3057	4/18/13	TrueSeq.v1
GTEX-R55E-1326-SM-48FCR	Esophagus	Esophagus - Mucosa	BP-21406	RNA isolation_PAXgene Tissue miRNA	1/12/12	LCSET-3057	4/18/13	TrueSeq.v1
GTEX-R55G-1026-SM-48FDI	Esophagus	Esophagus - Mucosa	BP-21547	RNA isolation_PAXgene Tissue miRNA	1/18/12	LCSET-3057	4/18/13	TrueSeq.v1
GTEX-RM2N-0726-SM-48FD5	Esophagus	Esophagus - Mucosa	BP-21549	RNA isolation_PAXgene Tissue miRNA	1/18/12	LCSET-3057	4/18/13	TrueSeq.v1
GTEX-RN64-1026-SM-48FDX	Esophagus	Esophagus - Mucosa	BP-21626	RNA isolation_PAXgene Tissue miRNA	1/20/12	LCSET-3057	4/18/13	TrueSeq.v1
GTEX-RNOR-1226-SM-48FDQ	Esophagus	Esophagus - Mucosa	BP-21628	RNA isolation_PAXgene Tissue miRNA	1/20/12	LCSET-3057	4/18/13	TrueSeq.v1
GTEX-RTLS-1126-SM-46MUQ	Esophagus	Esophagus - Mucosa	BP-21803	RNA isolation_PAXgene Tissue miRNA	1/25/12	LCSET-2933	4/16/13	TrueSeq.v1
GTEX-RU72-0726-SM-46MUW	Esophagus	Esophagus - Mucosa	BP-21837	RNA isolation_PAXgene Tissue miRNA	1/26/12	LCSET-2933	4/16/13	TrueSeq.v1
GTEX-S32W-0926-SM-4AD5X	Esophagus	Esophagus - Mucosa	BP-22611	RNA isolation_PAXgene Tissue miRNA	2/23/12	LCSET-3098	5/14/13	TrueSeq.v1
GTEX-S33H-0826-SM-4AD5Y	Esophagus	Esophagus - Mucosa	BP-22611	RNA isolation_PAXgene Tissue miRNA	2/23/12	LCSET-3098	5/14/13	TrueSeq.v1
GTEX-S341-0526-SM-4AD5U	Esophagus	Esophagus - Mucosa	BP-22766	RNA isolation_PAXgene Tissue miRNA	2/29/12	LCSET-3098	5/14/13	TrueSeq.v1
GTEX-S3XE-0926-SM-4AD4S	Esophagus	Esophagus - Mucosa	BP-22873	RNA isolation_PAXgene Tissue miRNA	3/5/12	LCSET-3098	5/14/13	TrueSeq.v1
GTEX-S4P3-0426-SM-4AD56	Esophagus	Esophagus - Mucosa	BP-22895	RNA isolation_PAXgene Tissue miRNA	3/6/12	LCSET-3098	5/14/13	TrueSeq.v1
GTEX-S4Q7-0626-SM-4AD5M	Esophagus	Esophagus - Mucosa	BP-23024	RNA isolation_PAXgene Tissue miRNA	3/12/12	LCSET-3098	5/14/13	TrueSeq.v1
GTEX-S95S-0426-SM-4B64I	Esophagus	Esophagus - Mucosa	BP-23283	RNA isolation_PAXgene Tissue miRNA	3/21/12	LCSET-3141	5/13/13	TrueSeq.v1
GTEX-SE5C-1226-SM-4BRWV	Esophagus	Esophagus - Mucosa	BP-23389	RNA isolation_PAXgene Tissue miRNA	3/26/12	LCSET-3152	5/27/13	TrueSeq.v1
GTEX-SNMC-0526-SM-4DM69	Esophagus	Esophagus - Mucosa	BP-23794	RNA isolation_PAXgene Tissue miRNA	4/4/12	LCSET-3205	5/31/13	TrueSeq.v1
