gdc-xena	gdc-recount	gdc-mskcc	gdc-piccolo	xena-recount	xena-piccolo	xena-mskcc	recount-piccolo	recount-mskcc	mskcc-piccolo
DDR1	0	0	0	752	0	306	0	76	0	360
GTF2H4	688	3445	893	0	2	487	0	3469	0	805
VARS2	0	0	0	665	0	946	0	2101	0	1000
SFTA2	5	12	0	862	19	732	3	54	16	738
DPCR1	1	0	0	81	3	0	1	82	2	0
MUC21	0	0	0	403	0	238	0	429	0	238
C6orf15	0	0	0	271	0	28	0	261	0	22
PSORS1C1	22	362	18	0	294	133	2	376	291	129
CDSN	262	545	263	4	33	0	0	545	31	0
PSORS1C2	1	0	0	175	7	19	1	174	6	16
CCHCR1	1	1	1	1409	0	672	1	1177	0	775
TCF19	4	0	2	2257	5	319	0	2149	3	242
POU5F1	3	1	1	405	2	283	3	334	0	264
HLA-C	9	1	2	4800	35	720	0	4799	70	610
HLA-B	1	1	1	4426	1	72	0	4796	0	95
MICA	4	1	1	2684	2	377	0	2378	0	356
MICB	0	0	0	398	0	24	0	366	0	35
ATP6V1G2-DDX39B	62	4800	713	0	4800	62	268	4800	4800	713
DDX39B	4296	1707	4176	3193	1	4800	0	4796	0	4800
NFKBIL1	16	0	0	4211	16	1341	4	4130	0	1336
TNF	0	0	0	106	0	19	0	99	0	20
LTB	7	1	2	1209	6	820	0	1138	1	823
LST1	2	1	1	813	2	1893	2	733	0	1870
AIF1	2	1	1	3390	2	3227	1	3313	0	3207
PRRC2A	4	0	0	4761	4	4556	4	4754	0	4765
BAG6	0	0	0	4799	0	4792	0	4799	0	4799
APOM	1	3	1	575	7	510	1	655	5	513
C6orf47	10	0	0	4496	11	241	0	4564	0	221
GPANK1	0	0	0	1215	2	391	0	2584	0	454
CSNK2B	269	5	259	0	0	4779	0	4014	0	4795
LY6G5B	4	4800	0	0	4795	4	4	4800	4800	0
ABHD16A	4298	4487	4272	0	0	4295	0	4489	0	4271
LY6G6D	2	3	0	0	2	4	2	242	0	2
LY6G6C	0	1	1	407	0	162	0	383	0	160
DDAH2	8	0	1	4487	7	4033	6	4453	0	3965
CLIC1	13	0	0	4800	11	4777	2	4800	0	4799
MSH5	30	2	51	0	13	117	11	62	0	148
MSH5-SAPCD1	4	337	1	0	121	6	0	337	210	1
SAPCD1	0	208	0	0	95	2	0	221	84	2
VWA7	0	0	0	113	0	24	0	103	0	26
VARS	2	0	0	4688	2	4261	2	4658	0	3784
LSM2	4	0	0	4781	4	4491	0	4774	0	4125
HSPA1A	3	3214	2	3577	728	4412	3	4800	632	4460
HSPA1B	3	2032	1	4511	147	4725	4	4800	179	4724
C6orf48	0	0	0	157	0	684	0	11	0	94
NEU1	2	0	0	4571	0	4441	0	4530	0	4471
SLC44A4	9	0	0	2640	6	2119	2	2623	0	2132
EHMT2	0	0	0	3903	0	3846	0	3722	0	3984
C2	1	0	0	8	0	2295	0	2407	0	2351
ZBTB12	2	0	2	609	0	0	0	503	0	0
CFB	3787	3896	3940	0	4	3437	5	3906	0	3941
SKIV2L	0	0	0	4152	0	3425	0	3992	0	3823
STK19	6	649	5	24	128	1711	0	1889	130	1602
C4A	3522	3392	3704	1405	4	3543	4	3393	1	3704
C4B	3543	3396	3679	1513	6	3563	7	3396	1	3679
CYP21A2	0	9	0	15	7	28	0	101	7	30
TNXB	19	2	19	70	1	236	1	125	0	271
ATF6B	9	0	0	4793	8	20	2	4684	0	3
FKBPL	7	0	1	1398	6	0	0	1157	0	0
PPT2	0	0	1	289	0	320	0	1270	0	332
PPT2-EGFL8	0	3653	0	0	3653	0	0	3653	3653	0
EGFL8	9	206	9	0	2	56	1	264	1	54
AGPAT1	6	0	0	4697	5	4431	4	4744	0	4368
RNF5	8	0	0	4796	3	4696	0	4790	0	4700
AGER	5	1	2	811	4	493	1	760	1	515
PBX2	2	0	2	4451	2	3855	1	4511	0	3837
GPSM3	9	1	2	2929	8	1627	1	2921	1	1224
NOTCH4	2	1	1	532	1	283	0	502	0	406
HLA-DRA	11	1	2	4796	8	4329	0	4795	0	4391
HLA-DRB5	2899	6	2850	0	3397	2154	8	0	3389	2083
HLA-DRB1	2165	1	2557	4792	2572	3	7	4792	2811	0
HLA-DQA1	3	1	0	0	2	72	2	2	0	51
HLA-DQB1	50	1	52	0	35	9	3	1	40	3
HLA-DQB2	583	49	608	2118	1385	388	1	2604	1425	372
HLA-DOB	1	1	1	357	6	0	0	574	5	1
TAP2	5	5	1	1574	0	2475	0	3618	1	2223
PSMB8	13	1	1	4738	12	4652	7	4736	0	4672
PSMB9	2	1	1	3409	1	4143	6	2722	0	4162
TAP1	6	1	1	4572	8	4117	2	4648	0	4335
HLA-DMB	0	1	0	31	0	3645	1	568	0	3641
HLA-DMA	1	1	1	4287	0	4072	0	4269	0	4082
BRD2	0	0	0	4796	0	4794	0	4795	0	4794
HLA-DOA	3	1	1	2074	1	716	0	2014	0	764
HLA-DPA1	1	1	0	1231	0	4164	0	2589	0	4628
HLA-DPB1	5	1	1	4645	4	4526	0	4623	0	4538
RXRB	0	0	0	4460	0	598	0	4384	0	434
SLC39A7	13	0	0	4800	11	3636	2	4800	0	2720
HSD17B8	16	0	2	4075	14	378	3	3940	0	355
RING1	14	0	2	4795	12	9	0	4791	0	5
VPS52	0	0	0	4496	0	3879	1	4636	0	3747
RPS18	3	0	0	4800	1	4786	11	4731	0	4800
B3GALT4	2	0	0	1022	1	0	0	853	0	0
WDR46	6	0	0	4687	5	1655	2	4642	0	2060
PFDN6	2	0	0	0	2	4545	7	3	0	4577
RGL2	0	0	0	4354	0	3383	0	4305	0	3599
TAPBP	3	1	1	4798	2	80	2	4796	0	40
ZBTB22	4	0	0	3607	4	0	0	3416	0	3
DAXX	4	0	0	4762	3	182	0	4741	0	21
KIFC1	6	6	0	87	55	0	2	1281	51	0
ZBTB9	8	577	7	5	1	0	0	0	0	0
NUDT3	10	2476	0	8	1409	121	13	4028	3268	16
RPS10-NUDT3	378	4800	489	0	4800	378	4	4800	4800	489
RPS10	4482	0	4520	4741	4690	4800	9	4722	4715	4800
LHFPL5	0	81	0	0	85	0	0	81	85	0
UNC5CL	2	134	3	273	252	384	0	28	280	391
PRICKLE4	47	4793	85	453	4765	3	0	4082	4729	2
TOMM6	4800	4800	4800	4800	0	0	0	0	0	0
RPL7L1	0	0	0	73	0	14	0	118	0	8
RSPH9	1	2919	0	0	2995	3	0	2842	2995	1
GSTA2	6	205	1	1	295	6	2	224	289	3
DST	1054	0	1438	0	1280	685	11	0	1704	920
BAG2	1	8	0	0	274	584	1	1	2	0
PRIM2	0	0	21	17	1	16	8	17	13	193
B3GAT2	0	417	0	0	419	0	0	421	421	0
OGFRL1	6	0	0	0	8	85	13	0	0	73
EEF1A1	9	0	4	14	610	4798	0	6	583	4799
COX7A2	1	0	0	0	1	626	1	0	0	152
FAXC	1	0	3	0	3	119	0	0	6	141
METTL24	0	0	0	4244	0	4280	0	4260	0	4281
HDAC2	28	0	7	0	51	6	0	0	19	1
DSE	11	90	0	0	75	4	6	43	72	0
KIAA0408	28	76	31	0	0	28	0	76	0	31
HEBP2	3	0	0	2650	4	6	0	3285	2	2
SYNE1	27	0	8	0	41	26	14	0	28	7
CNKSR3	5	0	1	92	5	0	0	87	1	0
SOD2	96	0	127	64	141	1	1	119	196	0
LPA	2	6	2	0	57	0	0	43	57	0
QKI	18	0	0	0	21	69	12	0	1	33
RNASET2	2163	1	1763	557	149	2	0	3	69	2
FGFR1OP	96	0	43	804	16	1	1	248	0	1
CCR6	15	61	15	35	0	0	0	0	0	0
C6orf120	12	1	7	0	39	1	3	1	27	0
PHF10	1	0	0	139	1	17	6	56	0	2
GET4	3246	3130	3261	4511	1	4	1	0	0	0
ADAP1	11	4	47	31	3	4	4	0	0	0
COX19	0	255	0	0	556	1	1	462	521	0
GPR146	1	46	5	85	0	0	0	0	0	0
CHST12	0	0	0	139	0	2	0	288	0	2
CCZ1	4680	2399	4559	3976	6	2	0	0	1	0
CCZ1B	3290	1504	3980	4067	12	3	1	0	2	0
SP8	48	0	75	0	9	1	1	0	64	22
STEAP1B	0	129	0	0	130	0	0	1	130	0
TOMM7	3	0	0	0	3	153	2	0	0	0
HOXA7	2	361	0	0	3	16	0	772	2	14
HOXA9	2	0	0	868	1	792	1	1011	0	749
LSM5	15	0	8	0	37	53	4	0	37	60
C7orf25	1	388	0	792	382	787	1	0	380	787
PSMA2	4793	4775	4797	4785	1	1	2	0	0	0
MRPS24	4788	4695	4795	0	0	4772	1	3862	0	4779
URGCP-MRPS24	0	4800	0	0	4800	0	0	4800	4800	0
PGAM2	158	664	156	534	253	214	1	0	261	213
PPIA	4766	0	4783	0	4782	4790	0	0	4796	4800
MRPS17	1021	1	0	288	3514	4599	953	0	0	13
PHKG1	0	3800	0	0	3824	0	0	3807	3825	0
KCTD7	0	235	1	0	922	0	1	192	318	1
RABGEF1	288	3032	110	185	0	2	1	77	2	1
POM121	4	31	0	0	17	2	5	17	27	0
GTF2I	2527	1075	4707	2	14	27	68	3	2	1347
GTF2IRD2	246	13	322	0	63	202	1	1	45	235
GTF2IRD2B	364	9	806	0	7	66	1	0	1	110
CYP51A1	3174	4551	3254	4183	2	1	0	2	0	0
LRRD1	0	3208	0	0	3208	0	0	3208	3208	0
FAM133B	23	0	1	15	30	415	8	12	11	392
GNGT1	1	81	1	1	82	0	0	82	82	0
GNG11	4	1	2	0	4	3524	0	1	2	3533
BHLHA15	134	0	137	0	3	3	0	0	0	0
PTCD1	0	3933	0	1	3930	1	0	3934	3630	6
ATP5J2-PTCD1	8	4764	0	0	4764	8	0	4764	4764	0
ATP5J2	3270	0	3778	0	4043	4	7	0	4301	5
ZKSCAN1	10	0	0	123	9	15	13	90	0	0
AP4M1	0	54	0	0	51	3	2	10	41	0
GATS	0	7	214	0	17	1	75	17	230	103
PVRIG	11	120	10	58	29	9	1	0	28	6
PILRB	371	2169	1671	2224	12	14	3	1	1	2
PILRA	1	18	0	0	58	1	0	31	56	0
SAP25	75	231	71	248	20	25	0	1	19	24
LRCH4	117	60	343	2196	4	5	2	0	0	0
SLC12A9	1	0	0	49	1	53	1	54	0	51
MUC12	80	1	143	0	51	133	2	0	52	206
TRIM56	4	0	1027	203	3	3	3	176	904	0
PRKRIP1	1	0	0	2566	1	963	0	2600	0	1091
POLR2J3	4466	1106	4202	495	1872	3458	13	0	578	3037
RASA4	948	123	905	5	5	892	2	0	0	842
POLR2J2	7	4765	141	2	4754	5	133	4765	4643	84
COG5	5	4	0	0	67	16	13	165	71	0
NDUFA5	33	0	13	0	33	3	1	289	7	1
GCC1	3	12	0	0	1161	1	0	50	1162	1
FSCN3	0	3697	0	0	3697	0	0	3697	3697	0
TNPO3	1	0	169	0	1	0	1	0	99	0
CHCHD3	1	69	1	0	233	1	0	29	232	0
AKR1B15	0	64	0	78	61	83	0	0	98	115
TMEM140	2	4	1	0	249	0	0	37	255	0
MTPN	3	1	1166	4798	4	4649	8	4793	993	4276
LUZP6	2079	4800	378	0	4764	2079	608	4800	4797	378
ZC3HAV1L	259	0	257	0	16	3	2	0	9	0
LUC7L2	338	6	143	27	2044	2992	1	0	1765	2838
NDUFB2	4497	0	4516	4790	3975	7	3	4756	3948	0
BRAF	12	0	0	18	11	23	14	36	0	0
MRPS33	515	0	172	68	859	0	0	440	386	0
SSBP1	161	0	192	0	322	0	0	0	363	0
PRSS1	0	3	0	124	3	97	0	101	3	90
CTAGE4	52	93	0	0	1	52	40	91	76	0
ARHGEF35	12	217	3	0	19	15	0	1523	4	22
OR2A7	9	20	0	0	10	10	9	77	12	0
ZNF775	0	0	0	20	0	47	1	5	0	74
GIMAP5	658	582	1109	0	0	660	0	586	0	1112
RHEB	2	0	1	12	1	559	0	17	0	564
DNAJB6	2416	0	3071	0	3863	46	0	0	4090	92
DEFB4B	79	250	64	118	174	56	2	17	186	49
DEFB103B	19	179	95	8	157	21	74	179	75	80
DEFB103A	191	182	165	0	1	191	0	182	2	165
CLDN23	6	0	524	1490	3	2792	5	1554	422	3114
PDGFRL	1	88	0	0	357	0	0	140	158	0
PDLIM2	2790	0	1900	0	2667	1446	2	0	1137	2
CLU	55	0	17	0	134	6	6	0	45	1
FBXO16	0	1830	0	0	1684	0	0	1471	1687	0
ZNF703	14	1	6	486	12	7	8	345	3	1
BRF2	0	1173	0	0	903	0	0	233	720	0
RAB11FIP1	1	26	0	3	179	33	1	0	0	0
LETM2	56	0	55	0	23	0	0	0	21	0
FNTA	9	0	2	351	6	0	0	9	0	0
RPS20	2	1	3	0	499	2	0	1	582	3
CLVS1	0	188	0	0	188	0	0	188	188	0
C8orf44-SGK3	0	1016	0	0	1016	0	0	1016	1016	0
SGK3	18	0	0	329	4	375	8	833	0	385
PPP1R42	0	442	0	0	442	0	0	441	441	0
RPL7	11	3566	16	4431	4799	4800	0	6	4800	4800
FABP5	30	0	179	186	3048	3484	3	0	3649	3709
C8orf59	20	3	965	0	3	3	1	0	29	4
FSBP	0	60	0	0	57	0	0	60	52	0
UQCRB	4778	0	4787	0	4791	4798	0	0	4799	4798
RPL30	4588	0	4625	4800	2882	0	0	4714	2885	0
NIPAL2	1	0	0	45	2	4	5	33	0	0
COX6C	23	0	27	0	215	1	1	1	267	0
ZNF706	1662	0	1420	0	4016	33	1	0	3914	9
ENY2	2721	0	2922	0	2977	374	0	0	3179	419
TATDN1	11	8	4	0	3	17	0	58	2	9
POU5F1B	1	2	0	26	3	69	0	1	2	25
LYNX1	191	1	190	0	215	328	0	1	213	330
EEF1D	4793	25	4800	2365	4762	344	7	1	4747	120
EPPK1	5	7	0	4	15	46	4	0	4	4
BOP1	11	0	11	4302	9	2491	5	4167	7	2248
SLC39A4	272	0	199	0	527	21	24	0	425	3
FOXH1	0	959	0	0	967	0	0	969	966	0
LRRC24	7	927	7	0	913	7	0	927	910	7
CBWD1	3130	1	3414	197	2844	34	2	0	3215	38
GLDC	0	0	0	57	0	0	0	1	0	0
PRSS3	5	0	3	54	4	59	3	54	2	58
CD72	0	133	0	0	165	1	0	101	169	1
CCDC107	13	2359	64	0	21	266	9	4248	2	1079
MSMP	29	2773	29	1923	2727	1872	0	1	2728	1872
GRHPR	1	0	1	2	2	7	2	251	1	0
TOMM5	4748	23	4750	4781	1	1	0	0	0	0
CBWD5	2990	0	2158	0	2981	2990	14	19	2123	2158
CBWD3	1258	3	29	0	1002	1257	591	0	1	14
FXN	0	0	0	72	0	233	0	42	0	222
GNAQ	5	0	1	237	4	6	7	219	0	0
RASEF	10	0	0	41	9	7	2	34	0	0
CENPP	0	35	0	0	5	0	3	34	34	0
IPPK	1	164	2	0	3	0	0	1	4	0
C9orf129	0	1310	0	179	1311	179	0	89	1311	179
C9orf3	289	0	321	0	808	85	1	0	941	85
TMOD1	0	262	0	0	279	0	0	604	237	0
TSTD2	4	82	0	0	104	6	4	124	111	0
TRIM14	3	14	1	0	358	3	2	59	352	1
TMEFF1	0	99	16	0	99	0	14	99	14	16
MRPL50	8	0	1	0	5	3546	0	0	1	2084
SLC44A1	1	0	0	0	1	347	1	0	0	128
AKAP2	1232	2682	1161	0	4	1232	7	2682	0	1161
DNAJC25-GNG10	75	4667	6	0	4644	75	53	4667	4667	6
GNG10	38	1579	31	1261	5	4301	1	4692	0	4303
UGCG	9	0	1	135	6	6	8	106	0	0
SLC31A2	642	2167	608	2043	0	1	0	0	0	1
CDC26	0	0	0	0	0	55	0	3	0	66
ORM2	6	65	2	0	112	3	2	111	113	1
GPR21	0	2507	0	0	2500	0	0	2505	2507	0
RPL12	0	1	0	0	4432	13	0	1	4465	14
PTRH1	675	74	666	2103	2	23	1	4	2	15
AK1	4006	1324	4060	83	6	5	7	1	0	1
SPTAN1	3	0	0	0	3	2	77	0	0	0
ENDOG	3	2170	1	0	3291	0	1	4506	3365	0
ASB6	1	0	0	0	81	1	0	2	207	1
OBP2A	0	8	0	2	87	9	0	0	86	8
DNLZ	538	68	537	1461	0	5	2	5	0	0
LCN10	108	162	115	243	0	0	0	0	0	0
LCN6	0	209	0	0	142	0	0	113	141	0
NDOR1	1	0	6	0	0	142	0	0	0	165
FAM166A	0	2531	0	0	2532	0	0	2531	2532	0
NRARP	59	0	2	0	7	30	2	0	0	0
NOXA1	1869	1	1875	0	682	248	0	1	690	243
MRPL41	37	0	16	0	29	62	10	0	7	37
AKR1C2	220	126	6	49	13	6	1	0	28	6
AKR1C1	1442	53	421	1586	124	33	2	3	10	39
AKR1C4	0	468	0	2	477	6	0	462	478	6
CALML3	0	0	0	0	10	1101	1	0	0	0
MRC1	9	0	893	947	8	41	100	901	834	2
COMMD3-BMI1	1393	4731	1085	0	1846	1393	14	4731	2960	1085
BMI1	2	1	1	3787	1	2676	4	4289	0	2794
ANXA8	323	64	4	714	0	1082	26	1045	16	969
FAM25G	95	98	64	0	4	95	13	98	16	64
AGAP9	6	1	3	16	4	18	9	128	129	0
FAM25C	95	85	62	9	0	110	4	105	5	79
PHYHIPL	0	157	0	0	160	0	0	159	158	0
ANK3	41	0	7	0	40	61	12	0	7	11
SEC24C	0	243	1	64	1	0	0	0	0	0
NDST2	48	3110	25	238	109	0	1	3	301	0
C10orf55	0	1317	0	0	1322	0	0	1321	1322	0
VDAC2	1	0	1	0	26	96	0	1	9	63
KCNMA1	21	0	7	0	40	100	4	0	15	71
RPS24	4773	0	4790	0	4796	4800	0	0	4800	4800
EIF5AL1	2	4756	5	2975	4757	3158	0	4	4757	3158
FAM213A	0	0	0	307	0	415	0	261	0	400
RPP30	2	0	2	0	2	335	0	0	2	465
PGAM1	280	2	227	0	1	412	0	10	1	367
GOLGA7B	1	15	189	0	19	0	16	17	188	70
NDUFB8	659	3	630	2348	1	4	1	1	0	0
AS3MT	198	1175	141	0	3	198	0	1175	8	141
CNNM2	0	471	0	0	476	0	0	286	474	0
NT5C2	8	67	1	24	1	1	2	0	0	0
USMG5	1	0	0	456	1	4466	0	56	0	4448
BBIP1	110	626	135	1	106	26	10	399	78	3
NRAP	5	118	5	0	121	0	0	121	121	0
SLC18A2	0	255	5	69	274	67	6	0	0	0
FAM204A	3905	0	3734	0	4094	5	1	0	3983	3
FAM45A	44	0	93	14	28	2388	0	26	36	2799
ZRANB1	2	40	0	0	1930	162	3	0	6	0
ZNF511	1	0	53	5	2	8	7	0	0	0
MTG1	2037	1441	2054	4023	1	1	0	0	0	0
SYCE1	76	66	75	110	0	0	0	0	0	0
IFITM2	22	300	12	0	164	19	16	98	168	2
MUC6	2	1	14	0	6	2	1	1	80	5
MRPL23	175	1	335	735	5	14	12	271	9	1
IGF2	14	0	5	1613	10	1080	13	1840	3	1051
TRIM6-TRIM34	0	241	0	0	241	0	0	241	241	0
TRIM34	6	247	5	0	0	6	0	247	1	5
ILK	4767	4795	4775	4800	2	3	0	0	0	0
TAF10	4605	740	4588	4263	3	0	0	1	2	0
CYB5R2	1	0	1	232	20	1	0	876	21	0
EIF3F	156	0	147	0	4674	0	0	55	4700	0
RPL27A	4782	1	4799	9	4793	4800	3	0	4800	4800
MTRNR2L8	72	1366	67	4580	1410	4614	32	4062	1317	4614
PSMA1	4794	0	1	0	4800	4800	4800	0	0	0
C11orf58	34	0	43	0	104	12	0	0	164	14
NUCB2	6	0	8	0	8	0	0	13	63	0
SAA4	0	193	0	3	242	0	0	404	242	0
SAA2	43	149	22	0	6	858	2	582	3	786
FIBIN	2	1	510	0	1	4	5	1	132	1
IMMP1L	49	0	43	0	231	443	0	0	221	434
EIF3M	2243	0	2545	0	2377	0	0	10	2690	0
HIPK3	15	0	0	125	14	23	20	91	0	1
EHF	5	0	0	6	5	170	6	10	0	115
PTPMT1	0	105	2	0	0	0	1	42	0	0
KBTBD4	1	204	69	0	59	1	205	613	3399	39
PTPRJ	9	0	435	0	7	3	10	0	334	22
CTNND1	2	0	0	4786	2	4713	8	4779	0	4715
TMEM138	297	0	44	0	277	11	3	0	75	0
SDHAF2	0	3	0	60	1092	2	1	4771	1824	0
BEST1	1	4800	1	0	4800	1	0	4800	4800	1
FTH1	4185	24	3449	14	8	23	2	0	0	6
EEF1G	4800	4800	4800	4800	0	0	5	0	0	0
HNRNPUL2-BSCL2	2176	4795	2008	0	4779	2178	5	4795	4794	2010
BSCL2	4191	4554	4530	0	2	4260	2	4555	0	4532
HNRNPUL2	2	24	0	0	770	10	4	3194	619	0
ATL3	13	0	1	182	12	14	8	164	0	0
SNX15	430	408	450	0	0	430	0	408	0	450
ZFPL1	545	895	569	3967	0	3	0	0	0	0
SYVN1	5	25	0	0	157	5	4	22	136	0
SSSCA1	5	264	0	0	26	16	10	0	8	0
AP5B1	1	0	180	0	1	0	0	0	90	1
SNX32	0	4735	0	0	4736	0	0	4734	4736	0
CCDC85B	40	1	29	0	27	28	1	0	12	13
SLC29A2	64	1	58	0	24	28	1	1	16	22
BBS1	1529	3866	1631	2372	46	2	2	2	34	0
ZDHHC24	0	0	0	1	0	119	0	0	0	2
RBM14-RBM4	0	4799	1	0	4799	1	0	4799	4798	1
RBM4	4792	4729	4795	0	1	4566	1	1067	0	4625
RAD9A	1	36	0	0	81	1	0	49	121	0
POLD4	2286	366	3611	4792	7	16	10	0	0	2
PTPRCAP	560	1924	606	1776	98	54	5	1	4	9
TMEM134	809	0	63	398	1551	8	7	1469	236	0
NDUFS8	7	0	11	1	9	9	7	69	11	0
ORAOV1	9	1587	9	0	914	3	1	826	761	1
FADD	5	31	0	3	446	20	0	0	309	3
NADSYN1	18	0	3	275	22	0	2	980	5	0
IL18BP	8	2625	2	0	2623	8	8	2869	2653	2
LRTOMT	0	78	0	0	29	0	0	216	31	0
FAM168A	3	0	0	255	3	6	7	190	0	1
CHRDL2	4	0	2	0	51	29	1	0	49	27
RNF169	15	0	0	0	58	10	14	4	95	0
SPCS2	470	0	1273	0	276	4776	6	0	600	4784
RPS3	457	0	2015	0	4265	4688	10	0	4647	4719
KCTD14	0	0	0	626	2	461	0	1748	0	406
NDUFC2-KCTD14	4	4800	4	0	4800	4	0	4800	4800	4
NDUFC2	3370	18	3307	0	1	4746	3	1741	0	4748
PRCP	2	1	1	2	1	0	0	225	0	0
FZD4	0	6	0	0	54	11	1	0	61	11
CHORDC1	25	0	2	0	104	20	5	0	74	7
SESN3	10	0	0	215	11	14	15	159	0	0
DCUN1D5	1	0	0	3990	1	1827	1	3827	0	1778
ALG9	725	3	919	0	5	18	1	0	0	7
HSPB2	0	183	0	361	176	320	0	0	0	0
C11orf52	1337	2240	1384	0	3	1337	0	2240	0	1384
SDHD	4	2	4792	0	0	1	4795	1	4791	4786
C11orf71	0	0	387	0	0	22	6	0	883	576
PCSK7	662	1580	1720	3156	253	23	1	3	31	0
FXYD2	823	7	824	167	741	120	1	1	733	115
FXYD6-FXYD2	1	2004	1	0	2004	1	0	2004	2004	1
MPZL3	8	0	1	159	7	3	2	116	0	0
UBE4A	6	0	0	0	746	16	12	0	688	4
ATP5L	72	0	33	0	646	4	3	0	421	2
PHLDB1	161	0	9	6	22	9	9	0	0	0
TREH	0	1373	0	0	1428	0	0	1362	1422	0
DDX6	7	0	142	0	7	6	13	0	103	229
CXCR5	4	2960	0	23	2892	2	0	2867	2942	0
C1QTNF5	2245	3360	2252	0	4	2245	1	3360	0	2252
CLMP	2	0	84	2	2	3	7	0	70	0
ITFG2	15	60	0	0	10	6	5	8	0	0
DYRK4	1969	0	1192	0	2641	0	0	0	1907	0
NDUFA9	4777	1	3599	4233	2330	1	0	16	31	0
CD27	7	13	1	0	62	3	1	35	60	1
EMG1	4	4148	1785	4729	486	25	1	8	53	0
LPCAT3	117	906	128	2915	1	2	0	0	0	0
C1RL	0	194	0	0	1170	0	1	306	1004	0
CD163L1	7	0	9	0	6	63	0	0	7	80
PHC1	11	3341	0	0	1048	169	5	3885	948	319
PZP	0	252	0	0	265	0	0	257	267	0
CLEC2D	15	128	0	4	136	13	14	0	116	5
KLRK1	42	127	37	0	3	45	0	127	4	42
KLRC4	0	184	0	0	184	0	0	184	184	0
MAGOHB	7	0	0	0	10	1392	0	0	0	576
PRR4	286	14	318	0	21	39	22	6	12	66
DUSP16	1	0	241	0	1	1	1	0	160	0
APOLD1	3	1431	1	0	2614	4	5	1569	2611	1
DDX47	4352	4147	4357	4712	0	0	0	0	0	0
ATF7IP	11	0	38	0	13	12	19	0	28	0
H2AFJ	7	0	0	0	6	1842	10	0	0	0
C12orf60	0	1835	0	0	1839	0	0	1806	1839	0
MGST1	252	0	1058	3908	591	1	0	4245	1606	0
PYROXD1	2	143	0	0	32	15	1	1677	40	5
RECQL	1	25	0	0	335	1	0	590	209	0
SSPN	5	0	39	0	3	5	6	0	68	24
H3F3C	0	4748	0	4623	4749	4624	0	0	4749	4624
YAF2	24	0	2	0	24	33	10	0	2	28
ANP32D	0	0	0	236	0	236	0	235	0	236
TUBA1B	88	350	441	495	1	0	0	0	0	0
TUBA1A	3	502	0	157	475	136	4	0	548	164
TUBA1C	522	421	26	3284	8	8	0	0	6	4
KRT7	1	136	0	2	133	6	3	102	132	2
KRT86	1	35	1	585	54	637	0	542	49	638
KRT85	0	136	0	1	137	1	0	130	137	1
KRT75	0	540	0	118	733	224	0	338	734	224
KRT6B	2	251	0	5	448	14	2	274	447	12
KRT6C	0	864	0	373	913	415	0	274	913	414
KRT6A	2	49	2	1	66	2	0	9	72	2
KRT72	0	51	0	0	51	0	0	51	51	0
KRT73	0	82	0	0	82	0	0	79	82	0
KRT4	3	79	2	0	112	2	1	75	107	1
KRT79	0	594	0	4	610	5	0	593	612	5
PCBP2	1621	0	1311	2	23	25	4	0	0	1
MAP3K12	4	1553	0	0	1351	5	2	1300	1290	1
HOXC8	4	0	99	0	2	0	0	0	51	0
HOXC4	1	0	147	0	1	0	22	0	147	53
HNRNPA1	12	2	1	4791	4749	4797	2	201	4779	4800
BLOC1S1	7	0	5	0	3	82	11	1	0	72
RDH5	33	65	33	0	2	10	1	26	1	11
SARNP	4766	4406	4767	4748	0	1	1	0	0	0
MMP19	3	32	0	0	51	3	3	40	37	0
RAB5B	2	0	71	0	2	3	14	0	65	22
RPS26	20	4796	17	4796	4797	4799	11	6	4800	4800
RPL41	780	2	4101	887	540	4781	0	725	4658	4795
MYL6B	1	2334	1	0	525	9	7	438	461	0
MYL6	127	0	69	0	133	2	1	9	62	0
CNPY2	4359	17	4148	142	0	0	0	0	0	0
GLS2	68	155	70	177	0	0	0	1	0	0
RBMS2	2	0	92	0	2	8	9	0	103	0
NACA	4788	0	4799	0	4796	4786	0	0	4800	4799
SLC26A10	0	75	0	49	71	45	0	0	73	45
TSPAN31	2	645	0	0	129	1	0	96	151	0
USP15	185	0	85	0	293	54	7	0	160	15
AVPR1A	2	0	85	63	2	1	4	46	70	0
LLPH	5	0	26	0	16	0	0	1	282	0
TMBIM4	201	3900	79	3	3	3	1	6	1	1
RAP1B	4789	0	4786	1016	4788	150	2	14	4785	56
MDM2	68	0	21	0	33	27	10	0	8	5
RAB3IP	113	0	2	0	136	503	9	0	2	9
ATXN7L3B	6	0	1	0	5	1696	0	1	0	1
GLIPR1	9	58	0	0	49	9	4	63	40	0
KRR1	83	5	81	0	5	11	1	5	2	2
NAP1L1	2126	0	3028	0	4036	25	1	0	4457	10
CSRP2	10	0	1	76	54	0	0	2781	41	0
GALNT4	256	956	259	0	27	266	1	956	15	265
POC1B-GALNT4	2	931	0	0	929	2	1	931	931	0
DCN	38	0	1	0	81	3	2	1	2	1
NUDT4	35	1	26	1114	18	3605	8	2226	3	3593
MRPL42	1669	0	1915	0	1901	5	0	0	2157	4
SYCP3	1	65	1	2	66	4	2	4	67	4
PMCH	0	177	0	0	181	0	0	183	181	0
IGF1	98	288	99	113	6	9	10	0	0	0
C12orf45	0	1493	0	0	1823	0	1	3153	230	2
TCHP	4	356	1	0	214	5	0	88	172	4
