gtexV6-xena	gtexV6-recount	gtexV6-mskcc	xena-recount	xena-mskcc	recount-mskcc
RPS29	1858	1889	1866	1890	0	1890
MGAT2	33	0	18	46	0	3
ARF6	61	0	1	0	0	0
GNG2	126	206	143	0	0	0
C14orf166	0	1590	0	347	0	12
CHURC1	1485	1342	1586	0	0	0
FNTB	1	323	1	0	0	0
PIGH	0	97	0	1	0	1
ARG2	0	867	0	1232	0	1202
SYNJ2BP	0	0	0	0	0	30
ACOT1	0	94	0	452	0	379
ZNF410	1616	1210	1598	0	0	0
FAM161B	0	117	0	261	0	310
ENTPD5	13	48	13	0	0	0
VASH1	0	158	0	7	0	5
GSTZ1	0	30	0	41	0	28
SLIRP	2	0	2	384	0	337
ZC3H14	0	1	0	29	0	25
PSMC1	0	460	0	1827	0	1683
TTC7B	0	5	0	891	0	34
ATXN3	15	0	0	75	4	0
NDUFB1	93	0	86	1656	0	1662
IFI27	0	0	0	688	0	480
CCDC85C	13	194	23	23	0	24
DEGS2	0	32	0	38	0	41
SLC25A29	1521	1403	1529	0	0	0
PPP2R5C	19	0	6	15	0	5
AMN	0	1136	0	1146	0	1145
KLC1	0	0	0	819	0	818
APOPT1	178	0	405	0	0	0
ZFYVE21	0	24	0	0	0	0
PLD4	0	470	0	470	0	470
CDCA4	0	70	0	0	0	0
BTBD6	29	0	20	0	0	0
SNRPN	1746	1785	258	0	1732	1784
SNURF	24	1884	0	1882	27	1884
GOLGA8H	0	30	0	29	0	29
MTMR10	0	168	0	0	0	0
GOLGA8O	0	183	5	170	0	57
GOLGA8N	276	224	127	0	4	2
GREM1	90	17	3	0	0	0
GOLGA8A	0	25	0	20	0	15
ZNF770	0	403	0	393	0	397
PAK6	0	103	47	98	45	0
DNAJC17	0	26	0	1	0	11
PLA2G4B	31	556	40	126	0	15
JMJD7	145	1384	268	451	0	44
TUBGCP4	1	0	0	78	0	0
CKMT1B	7	6	16	0	0	0
CKMT1A	4	98	1	0	0	0
ELL3	88	125	88	0	0	0
SERF2	1876	0	1881	1873	0	1881
B2M	0	0	0	1809	0	1883
DUOXA2	0	390	0	531	0	535
SLC24A5	0	24	0	24	0	23
DTWD1	0	0	0	23	0	739
CCPG1	25	12	23	0	0	0
GCOM1	0	442	112	565	133	249
MYZAP	697	1218	569	0	8	232
POLR2M	102	560	178	0	0	0
ANXA2	0	0	0	922	0	949
RPS27L	0	0	0	1854	0	1803
SNX22	0	1648	0	1698	0	1687
SLC51B	1	0	1	19	0	19
RASL12	0	91	0	0	0	0
CALML4	9	81	34	0	0	0
RPLP1	0	67	0	0	0	0
HEXA	0	3	0	20	0	19
ARIH1	0	7	0	91	0	2
CLK3	0	0	0	956	0	1014
CPLX3	63	0	92	113	0	130
MPI	0	41	0	11	0	10
NEIL1	0	79	0	0	0	0
RCN2	0	33	0	0	0	0
ACSBG1	0	229	0	229	0	228
TMED3	0	1639	0	1661	0	1612
MTHFS	96	328	270	734	690	0
MESDC1	41	0	0	0	0	0
GOLGA6L9	35	142	2	0	32	131
RPS17	1890	1890	1890	399	209	4
C15orf40	0	0	0	30	0	6
NTRK3	0	0	8	0	6	21
MRPL46	0	288	0	0	0	0
ISG20	0	0	0	23	0	30
AP3S2	111	397	103	0	0	0
MEF2A	0	98	0	0	0	0
LYSMD4	0	10	0	20	0	111
HBA2	2	186	2	10	0	9
HBA1	26	1181	10	56	0	89
ARHGDIG	0	29	0	125	0	121
JMJD8	0	53	0	6	0	17
TPSG1	26	146	24	462	0	462
TPSD1	0	39	0	299	0	210
UNKL	4	13	15	0	0	0
EME2	0	1737	0	1335	0	1284
FAHD1	133	434	177	0	0	0
NOXO1	43	86	43	0	0	0
GFER	49	352	104	0	0	0
PKD1	145	0	115	0	0	0
CASKIN1	0	62	0	63	0	63
PGP	0	24	0	0	0	0
DNASE1L2	0	0	0	95	0	110
RNPS1	49	0	46	0	0	0
ATP6V0C	1890	1890	1890	0	0	0
PAQR4	1	140	0	0	0	0
TIGD7	0	78	2	0	0	0
NAA60	1807	1684	1661	0	0	0
PAM16	767	2	744	0	0	0
CORO7	1050	405	1078	0	0	0
ABAT	58	87	58	0	0	0
TMEM186	0	292	0	12	0	12
C16orf72	0	0	0	0	1	25
SNN	353	1552	349	0	0	0
NPIPA3	170	1668	69	1311	0	1533
NPIPA2	1	1131	4	1079	0	879
NPIPA1	863	0	594	6	0	0
NDE1	0	1286	4	1051	0	1001
NOMO3	40	9	889	3	54	35
NPIPA7	255	1827	1660	1426	1164	182
NOMO2	1873	1566	19	0	396	1
RPS15A	1890	0	1890	1890	0	1890
GPRC5B	6	31	14	0	0	0
ACSM3	53	0	41	16	0	5
ERI2	0	18	0	3	0	2
NPIPB3	1845	1713	1878	0	0	1
EIF3CL	7	1880	10	1753	0	1836
CLN3	1472	1168	1429	0	0	0
APOBR	79	0	87	0	0	0
NUPR1	1	1493	0	0	0	0
EIF3C	1890	1887	1890	207	0	216
NPIPB11	2	1041	2	1170	0	1171
SLX1B	45	1286	412	598	13	232
SULT1A4	77	614	82	613	1	480
SLX1A	1315	1556	943	2	2	21
SULT1A3	799	1230	753	15	0	26
SEPT1	44	77	0	0	41	75
ZNF768	9	927	9	0	0	0
SRCAP	1	0	0	61	0	0
ZNF629	0	0	23	0	0	166
PRSS53	0	37	1	0	0	0
VKORC1	1880	1858	1882	0	0	0
SLC5A2	0	1753	0	1754	0	1754
SIAH1	355	807	233	4	0	12
NKD1	0	0	0	34	0	30
MT1M	47	0	34	0	0	0
MT1G	0	106	0	64	0	64
NUP93	0	0	0	37	0	27
PLLP	1	180	0	261	0	293
SETD6	0	71	0	6	0	1
CNOT1	19	0	0	0	0	0
B3GNT9	57	1051	56	14	0	14
FBXL8	447	621	434	0	0	0
TSNAXIP1	0	1	0	29	0	26
NFATC3	0	248	0	328	0	255
SLC7A6	0	335	0	5	0	0
SLC7A6OS	1	1109	0	599	0	905
HAS3	0	12	0	61	0	56
VPS4A	57	0	0	184	0	0
COG8	0	801	0	22	0	548
PDF	0	577	0	698	0	553
NFAT5	27	0	41	79	0	98
PDPR	0	0	0	0	0	36
SF3B3	0	0	0	65	0	39
MTSS1L	0	45	0	0	0	0
ZNF23	11	27	8	0	0	0
HPR	2	102	2	117	0	117
CTRB1	0	225	0	70	0	70
CMC2	0	436	0	1810	0	1667
GCSH	595	10	877	0	0	0
HSBP1	9	0	0	48	0	4
MLYCD	934	788	0	0	0	0
WFDC1	0	522	0	0	0	0
FOXF1	33	0	0	0	0	0
CA5A	0	24	0	3	0	2
PIEZO1	30	0	16	1	0	0
RPL13	0	1	0	1890	0	1890
CDK10	212	0	0	0	0	0
SPATA2L	0	25	0	0	0	0
FANCA	3	52	3	19	0	21
TUBB3	0	102	99	101	98	0
DOC2B	0	65	0	0	2	180
TIMM22	369	0	405	28	0	30
ABR	199	29	223	0	0	0
TLCD2	0	1	0	0	0	79
HIC1	0	18	0	53	0	40
SRR	0	528	0	526	0	450
METTL16	38	0	63	0	0	0
TRPV1	1	96	1	33	0	53
TAX1BP3	0	64	0	0	0	0
EMC6	356	1731	347	0	0	0
ITGAE	25	0	15	636	0	604
MED11	9	95	8	0	0	0
CHRNE	0	262	0	291	0	293
ENO3	0	1377	0	783	0	778
TXNDC17	1	0	1	420	0	446
RNASEK	1881	1829	1862	0	0	0
C17orf49	1726	1699	1689	0	0	0
CD68	47	0	19	113	0	67
TRAPPC1	22	0	8	0	0	0
VAMP2	1863	1889	1862	0	0	0
SLC25A35	0	100	0	318	0	321
RPL26	10	0	8	1824	0	1839
HS3ST3B1	0	35	0	6	0	7
CDRT4	243	614	230	5	0	6
TRIM16	574	506	577	0	0	0
PLD6	2	163	2	0	0	0
SMCR8	0	20	0	21	0	92
LYRM9	164	20	195	0	0	0
TMEM97	22	664	19	91	0	86
TNFAIP1	0	50	0	0	0	0
SARM1	0	46	0	11	0	15
SLC46A1	8	299	8	0	0	0
RPL23A	107	0	1569	1890	0	1890
MYO18A	20	0	6	0	0	0
EVI2A	0	165	0	0	0	0
RFFL	11	262	11	0	0	0
CCL15	10	1802	11	1771	0	1767
TBC1D3G	0	30	12	29	12	0
TBC1D3F	0	0	306	0	304	254
TBC1D3	7	251	25	247	30	2
CISD3	0	72	0	7	0	1
RPL23	2	0	2	1888	0	1890
NR1D1	8	0	5	69	0	68
SMARCE1	1807	22	1831	0	0	0
KRT10	5	0	2	39	0	36
RAB5C	666	1830	484	0	0	0
PSMC3IP	0	229	0	368	0	339
CNTD1	0	1316	0	1319	0	1319
PTGES3L-AARSD1	0	1536	0	1536	0	1536
AARSD1	668	45	635	0	0	0
RND2	110	0	0	0	0	0
LSM12	49	46	91	0	0	0
HEXIM1	1	0	3	1	0	36
LRRC37A	0	30	0	5	0	4
LRRC37A2	359	304	345	0	0	0
ARL17A	85	2	33	0	0	0
HOXB4	301	0	306	0	0	0
SAMD14	0	286	0	302	0	290
CHAD	21	0	9	57	0	66
NME1	1423	923	1428	0	0	0
NME1-NME2	1890	1890	1890	0	0	0
MRPS23	4	873	0	0	0	0
NACA2	0	1779	0	1779	0	1779
STRADA	908	42	841	0	0	0
CACNG4	0	19	0	0	0	0
FAM104A	0	461	0	163	0	62
C17orf80	0	369	0	0	0	0
RPL38	8	0	9	1890	0	1890
ATP5H	0	30	0	0	0	0
MYO15B	7	0	1786	0	0	1141
SMIM5	81	71	57	0	0	0
MRPL38	1862	1654	1878	0	0	0
FBF1	263	0	0	325	289	0
CDK3	1	0	0	57	0	28
ZACN	289	1838	79	1287	50	1424
MFSD11	0	274	0	284	0	253
BIRC5	15	53	15	0	0	0
SLC25A10	282	851	272	0	0	0
ANAPC11	896	0	886	0	0	0
MAFG	115	1637	116	0	0	0
CCDC57	175	0	191	60	0	67
TBCD	4	0	0	42	0	6
TYMS	1	6	1	177	0	205
VAPA	0	0	0	153	0	173
GNAL	1	171	1	30	0	20
MPPE1	53	1	79	0	0	0
TUBB6	13	32	5	0	0	0
LDLRAD4	29	0	36	15	0	19
SNRPD1	18	1872	42	3	0	1
PIK3C3	410	0	531	229	0	270
ATP5A1	0	99	0	0	0	0
SMAD2	0	0	0	1120	0	1138
C18orf32	46	1	213	0	0	0
RPL17	1890	150	1890	321	0	257
NEDD4L	20	0	1	19	0	0
SERPINB2	26	84	25	0	0	0
SERPINB10	0	203	0	203	0	203
CYB5A	0	1815	0	1646	0	1206
NDUFS7	0	0	0	99	0	16
RPS15	0	0	0	29	0	1
C19orf25	673	257	683	0	0	0
MBD3	1831	1676	1834	0	0	0
UQCR11	182	800	277	0	0	0
JSRP1	0	1884	0	1888	0	1888
TIMM13	53	3	47	0	0	0
DIRAS1	1	269	2	0	0	0
C19orf71	129	0	130	824	0	824
PLIN4	1	46	1	2	0	2
FEM1A	924	0	61	11	5	0
RPL36	453	0	354	0	0	0
NDUFA11	1890	1884	1890	644	0	651
MLLT1	0	28	0	0	25	1190
C3	19	0	15	54	0	49
ARHGEF18	221	1663	256	0	0	0
ZNF358	1700	1873	1709	0	0	0
PET100	1388	321	1358	0	0	0
TRAPPC5	1803	103	1882	417	14	1490
NDUFA7	1877	1890	1879	0	0	0
RPS28	1510	51	1356	1890	0	1889
ZNF559	259	28	145	0	0	0
ZNF177	0	51	0	0	0	32
UBL5	0	27	0	5	0	5
ANGPTL6	0	555	0	619	0	620
PPAN	1285	1611	1242	0	0	0
P2RY11	0	772	0	334	0	361
S1PR2	0	4	0	0	1	233
RAVER1	0	0	0	22	0	6
TMED1	0	19	0	17	0	12
LDLR	18	3	21	0	0	0
RAB3D	57	0	52	481	0	415
ZNF700	0	32	0	0	0	0
ZNF625	32	0	27	0	0	0
WDR83	0	726	0	725	0	635
HOOK2	0	137	0	54	0	54
GADD45GIP1	152	0	0	994	0	0
TECR	3	11	3	247	0	190
AP1M1	0	472	0	0	0	0
C19orf44	0	467	0	719	0	842
SLC35E1	5	66	17	0	0	0
SMIM7	1733	1213	1803	0	0	0
RPL18A	1884	0	1888	1890	0	1890
IFI30	1389	1435	1359	0	0	0
PDE4C	42	0	41	19	0	19
UBA52	0	0	0	616	0	440
MEF2B	0	336	0	369	0	363
YJEFN3	0	66	0	0	0	0
ZNF90	0	1247	0	1198	0	1208
UQCRFS1	1890	33	31	0	0	0
POP4	1501	0	1441	1421	0	1347
CEBPA	11	0	854	0	214	945
DMKN	1	0	1	258	0	293
GAPDHS	0	0	0	164	0	164
IGFLR1	176	341	194	0	0	0
U2AF1L4	1538	1402	1563	0	0	0
LIN37	28	116	69	0	0	0
ZNF540	0	84	0	0	0	0
C19orf33	878	1031	903	0	0	0
CAPN12	4	1252	4	1093	0	1122
LGALS7	1	134	6	72	0	72
SARS2	922	681	882	0	0	0
EGLN2	1826	1637	1838	0	0	0
BCKDHA	898	1861	1742	60	0	0
RPS19	1746	0	1762	1308	0	1359
ZNF575	0	73	0	103	0	103
IRGQ	4	66	2	0	0	0
PVR	0	66	0	0	0	0
APOC2	92	137	149	103	109	0
GEMIN7	117	123	142	0	0	0
CKM	2	35	1	311	0	316
GNG8	0	2	0	23	0	24
C19orf68	0	0	0	0	0	29
RPL18	0	0	0	761	0	653
BCL2L12	0	0	1	20	0	49
ADM5	103	0	105	0	0	0
IL4I1	0	92	0	92	0	92
NUP62	816	1644	902	80	0	77
SPIB	70	97	76	0	0	0
FAM71E1	0	55	0	103	0	104
EMC10	1	169	0	0	0	0
ETFB	0	1820	0	0	0	0
SIGLEC5	4	27	4	2	0	1
NDUFA3	1831	0	1845	448	0	609
LENG1	24	0	12	588	0	511
RPS9	495	0	0	286	0	0
LILRB3	217	200	174	0	0	0
RPL28	1868	0	1875	1890	0	1890
EPN1	0	672	0	70	0	0
ZNF776	12	110	13	0	0	0
ZNF587	11	310	17	0	0	0
ZNF135	0	1144	0	1248	0	1248
ZSCAN18	798	100	1091	0	0	0
A1BG	121	0	113	9	0	8
ZCCHC3	0	0	336	0	0	613
SRXN1	219	1779	212	0	0	0
MAVS	0	4	0	0	0	620
PET117	0	466	0	7	0	1
HM13	0	1	0	19	0	6
MMP24	77	0	83	167	0	176
C20orf24	519	1091	490	1	0	1
SLA2	0	63	0	81	0	83
TLDC2	20	799	17	465	0	479
EMILIN3	0	344	0	311	0	302
DBNDD2	1769	1765	1774	1	0	1
SNX21	0	106	0	0	0	1
UBE2V1	1885	1885	1887	1	0	1
BCAS4	544	2	459	294	0	268
FAM209A	0	1637	0	1638	0	1638
NPEPL1	1510	676	1374	1	0	1
GNAS	0	1	0	46	0	10
ATP5E	1890	1890	1890	1	0	1
RPS21	22	1	22	6	0	6
MRGBP	69	1	0	0	0	0
GID8	83	1	0	0	0	1
RTEL1	105	1339	94	3	0	2
ZGPAT	861	1777	1036	0	0	0
SOX18	0	29	0	1	0	1
MRAP	0	114	0	109	0	109
URB1	0	0	0	19	0	20
C21orf59	1557	1710	1520	1	0	1
DONSON	0	113	0	334	0	451
PIGP	330	0	309	66	0	59
DYRK1A	6	111	11	1	0	1
TFF1	75	0	75	147	0	147
U2AF1	2	1679	0	802	1	1854
SIK1	1209	1	1	567	527	1
PWP2	534	184	0	0	14	0
C21orf33	1194	1	0	1030	1106	1
SLC19A1	1	947	2	853	0	837
TUBA8	25	31	25	0	0	0
PRODH	0	25	0	2	0	8
USP41	33	0	23	31	0	20
GGT2	0	28	0	44	0	31
YPEL1	0	171	0	362	0	345
GGTLC2	0	36	0	36	0	36
IGLL5	842	1	890	966	0	968
GNAZ	0	85	0	0	0	0
RGL4	106	0	106	412	0	412
CHCHD10	33	0	26	1	0	1
GSTT2B	608	1097	0	1	349	997
DDTL	48	1887	46	1887	0	1887
SPECC1L	407	1535	411	0	0	0
ADORA2A	36	78	36	0	0	0
MTFP1	89	482	85	0	0	0
SH3BP1	0	48	0	49	0	49
PDXP	129	558	141	5	0	0
TRIOBP	1756	1678	1758	1	0	1
C22orf23	472	0	186	593	2	571
POLR2F	1785	0	1829	1814	0	1849
POLR3H	0	272	0	407	0	278
CSDC2	0	6	0	37	0	38
SERHL2	0	4	0	49	0	46
ARHGAP8	442	540	435	3	0	3
MAPK12	0	120	0	92	0	89
SCO2	2	2	0	282	0	267
CPT1B	908	1149	976	0	0	0
GTPBP6	1885	1	59	1888	1077	345
PPP2R3B	233	0	0	41	37	0
CSF2RA	28	0	0	57	2	0
IL3RA	774	0	766	1322	24	1322
SLC25A6	1	1	704	1	0	1818
P2RY8	0	0	67	0	0	100
AKAP17A	0	1	65	1	0	454
DHRSX	60	0	0	146	0	0
ZBED1	4	1	1480	0	0	1564
TXLNG	0	64	0	0	0	0
ATP6AP2	0	47	0	1	0	1
NDUFB11	82	1	85	1	0	1
MAGED4B	514	146	381	0	0	0
MAGED4	0	195	9	137	2	5
FAM156B	883	1487	1035	0	1	2
FAM156A	923	1008	1059	0	1	0
CITED1	44	51	47	0	0	0
PGAM4	0	929	0	929	0	929
RPL36A	1890	63	1890	1890	0	1890
HNRNPH2	1812	1889	1819	9	0	9
TCEAL1	1407	1620	1409	1	0	1
DOCK11	0	1	0	0	18	0
RPL39	1890	167	1890	1890	0	1890
NDUFA1	399	1	421	1	0	1
GLUD2	33	0	33	1035	0	1035
IDS	41	577	44	947	688	1
TMEM185A	25	0	5	0	0	0
TREX2	0	796	0	797	0	797
HAUS7	1019	374	935	1	0	1
SRPK3	0	280	0	481	0	489
RPL10	0	114	0	1890	0	1890
IKBKG	0	0	464	1	0	1
FUNDC2	365	1	477	1887	0	1889
MTCP1	651	374	343	0	0	0
F8A3	20	61	3	5	4	12
VAMP7	1725	1	1462	1753	0	1728
